Rang	Artist	Song	Year
287	Stevie Wonder	You Are the Sunshine of My Life	1973
288	Joni Mitchell	Help Me	1974
289	Blondie	Call Me	1980
290	Elvis Costello and the Attractions	(What's So Funny About) Peace, Love and Understanding	1974
291	Howlin' Wolf	Smokestack Lightning	1956
292	Pavement	Summer Babe (Winter Version)	1992
293	Run-DMC	Walk This Way	1986
294	Barrett Strong	Money (That's What I Want)	1959
295	The Beatles	Can't Buy Me Love	1964
296	Eminem feat. Dido	Stan	2000
297	The Zombies	She's Not There	1964
298	The Clash	Train in Vain	1980
299	Al Green	Tired of Being Alone	1971
300	Led Zeppelin	Black Dog	1971
301	The Rolling Stones	Street Fighting Man	1971
302	Bob Marley and the Wailers	Get Up, Stand Up	1973
303	Neil Young	Heart of Gold	1971
304	Prince	Sign o' the Times	1987
305	Blondie	One Way or Another	1979
306	Madonna	Like A Prayer	1988
307	Daft Punk	One More Time	2000
308	Rod Stewart	Da Ya Think I'm Sexy?	1978
309	Willie Nelson	Blue Eyes Crying in the Rain	1975
310	The Rolling Stones	Ruby Tuesday	1967
311	The Beatles	With a Little Help from My Friends	1967
312	James Brown	Say It Loud - I'm Black and I'm Proud	1968
313	The Jam	That's Entertainment	1980
314	Frankie Lymon and The Teenagers	Why Do Fools Fall In Love	1956
315	Jackie Wilson	Lonely Teardrops	1958
316	Tina Turner	What's Love Got to Do with It	1984
317	Black Sabbath	Iron Man	1971
318	The Everly Brothers	Wake Up Little Susie	1969
319	Roy Orbison	In Dreams	1963
320	Screamin' Jay Hawkins	I Put a Spell on You	1956
321	Pink Floyd	Comfortably Numb	1980
322	The Animals	Don't Let Me Be Misunderstood	1965
323	Elvis Costello	Alison	1977
324	Pink Floyd	Wish You Were Here	1975
325	Jimmy Cliff	Many Rivers to Cross	1969
326	Alice Cooper	School's Out	1972
327	Franz Ferdinand	Take Me Out	2004
328	Led Zeppelin	Heartbreaker	1969
329	Neil Young	Cortez the Killer	1975
330	Public Enemy	Fight the Power	1989
331	Patti Smith Group	Dancing Barefoot	1979
332	The Supremes	Baby Love	1964
333	The Young Rascals	Good Lovin'	1966
334	James Brown	Get Up (I Feel Like Being a) Sex Machine	1970
335	Jerry Butler and The Impressions	For Your Precious Love	1958
336	The Doors	The End	1967
337	Earth, Wind and Fire	That's the Way of the World	1975
338	Queen	We Will Rock You	1977
339	Bonnie Raitt	I Can't Make You Love Me	1991
340	Bob Dylan	Subterranean Homesick Blues	1965
341	Norman Greenbaum	Spirit in the Sky	1969
342	The Velvet Underground	Sweet Jane	1970
343	The Rolling Stones	Wild Horses	1971
344	Michael Jackson	Beat It	1982
345	U2	Beautiful Day	2000
346	Aerosmith	Walk This Way	1975
347	Paul McCartney	Maybe I'm Amazed	1970
348	The Supremes	You Keep Me Hangin' On	1966
349	The Who	Baba O'Riley	1971
350	Jimmy Cliff	The Harder They Come	1972
351	Dion	Runaround Sue	1961
352	LaVern Baker	Jim Dandy	1956
353	Big Brother and the Holding Company	Piece of My Heart	1968
354	Ritchie Valens	La bamba	1958
355	Dr. Dre and 2Pac	California Love	1995
356	Elton John	Candle in the Wind	1974
357	The Isley Brothers	That Lady (Part 1 and 2)	1973
358	Ben E. King	Spanish Harlem	1961
359	Little Eva	The Loco-Motion	1962
360	The Platters	The Great Pretender	1955
361	Elvis Presley	All Shook Up	1957
362	Eric Clapton	Tears in Heaven	1992
363	Elvis Costello	Watching the Detectives	1977
364	Creedence Clearwater Revival	Bad Moon Rising	1969
365	Eurythmics	Sweet Dreams (Are Made of This)	1983
366	The Jimi Hendrix Experience	Little Wing	1967
367	Martha and the Vandellas	Nowhere to Run	1965
368	Muddy Waters	Got My Mojo Working	1957
369	Roberta Flack	Killing Me Softly with His Song	1973
370	The Beatles	All You Need Is Love	1967
371	The Clash	Complete Control	1977
372	The Box Tops	The Letter	1967
373	Bob Dylan	Highway 61 Revisited	1965
374	The Righteous Brothers	Unchained Melody	1965
375	Bee Gees	How Deep Is Your Love	1977
376	Cream	White Room	1968
377	Depeche Mode	Personal Jesus	1989
378	Bo Diddley	I'm a Man	1955
379	The Jimi Hendrix Experience	The Wind Cries Mary	1967
380	The Who	I Can't Explain	1965
381	Television	Marquee Moon	1977
382	Sam Cooke	Wonderful World	1960
383	Chuck Berry	Brown Eyed Handsome Man	1956
384	Pink Floyd	Another Brick in the Wall Part 2	1979
385	Radiohead	Fake Plastic Trees	1994
386	Yeah Yeah Yeahs	Maps	2003
387	Ray Charles	Hit the Road Jack	1961
388	U2	Pride (In the Name of Love)	1984
389	R.E.M.	Radio Free Europe	1981
390	Elton John	Goodbye Yellow Brick Road	1973
391	Aaron Neville	Tell It Like It Is	1966
392	The Verve	Bitter Sweet Symphony	1997
393	The Allman Brothers Band	Whipping Post	1969
394	The Beatles	Ticket to Ride	1965
395	Crosby, Stills, Nash & Young	Ohio	1970
396	Eric B. and Rakim	Know You Got Soul	1987
397	Elton John	Tiny Dancer	1972
398	The Police	Roxanne	1978
399	The Temptations	Just My Imagination	1971
400	The Four Tops	Baby I Need Your Loving	1964
401	The Lovin' Spoonful	Summer in the City	1966
402	Five Stairsteps (en)	O-o-h Child	1970
403	Elvis Presley	Can't Help Falling in Love	1961
404	The Shangri-Las	Remember (Walkin' in the Sand)	1964
405	Blue Oyster Cult	(Don't Fear) The Reaper	1976
406	Big Star	Thirteen	1972
407	Lynyrd Skynyrd	Sweet Home Alabama	1974
408	Metallica	Enter Sandman	1991
409	The Shirelles	Tonight's the Night	1961
410	Sly and the Family Stone	Thank You (Falettinme Be Mice Elf Agin)	1969
411	Eddie Cochran	C'mon Everybody	1958
412	Rihanna Featuring Jay-Z	Umbrella	2007
413	Bob Dylan	Visions of Johanna	1966
414	The Carpenters	We've Only Just Begun	1970
415	Nirvana	In Bloom	1992
416	Aerosmith	Sweet Emotion	1975
417	Pixies	Monkey Gone to Heaven	1989
418	Donna Summer	I Feel Love	1977
419	Bobbie Gentry	Ode to Billie Joe	1967
420	Little Richard	The Girl Can't Help It	1956
